Barcode,Well,Result
NB00153860,Q13,4741638
NB00153860,Q14,4832345
NB00153860,Q15,4838589
NB00153860,Q16,4679493
NB00153860,Q17,4773775
NB00153860,Q18,4693049
NB00153860,Q19,4812945
NB00153860,Q20,4959328
NB00153860,Q21,4643923
NB00153860,Q22,4698249
NB00153860,Q23,4794491
NB00153860,Q24,4806814
NB00153860,Q25,4815340
NB00153860,Q26,5060963
NB00153860,Q27,4740804
NB00153860,Q28,4860129
NB00153860,Q29,4785046
NB00153860,Q30,5063706
NB00153860,Q31,5055488
NB00153860,Q32,5024936
NB00153860,Q33,5129010
NB00153860,Q34,5128235
NB00153860,Q35,5067516
NB00153860,Q36,5289499
NB00153860,Q37,5919006
NB00153860,Q38,5379021
NB00153860,Q39,5156940
NB00153860,Q40,5406752
NB00153860,Q41,5484959
NB00153860,Q42,5257509
NB00153860,Q43,5304457
NB00153860,Q44,5444716
NB00153860,Q45,150582
NB00153860,Q46,153534
NB00153860,Q47,148309
NB00153860,Q48,149681
NB00153860,R01,5139630
NB00153860,R02,5312850
NB00153860,R03,5271299
NB00153860,R04,5211669
NB00153860,R05,5154008
NB00153860,R06,5097267
NB00153860,R07,5129509
NB00153860,R08,5041485
NB00153860,R09,5118997
NB00153860,R10,5104050
NB00153860,R11,5108418
NB00153860,R12,5191533
NB00153860,R13,5215647
NB00153860,R14,5252647
NB00153860,R15,5112784
NB00153860,R16,4986665
NB00153860,R17,4995128
NB00153860,R18,5119074
NB00153860,R19,5148748
NB00153860,R20,5190659
NB00153860,R21,4964340
NB00153860,R22,5128595
NB00153860,R23,5167964
NB00153860,R24,5254060
NB00153860,R25,5198524
NB00153860,R26,5490123
NB00153860,R27,5446626
NB00153860,R28,5226220
NB00153860,R29,5433476
NB00153860,R30,5483995
NB00153860,R31,5248112
NB00153860,R32,5287075
NB00153860,R33,5477963
NB00153860,R34,5447720
NB00153860,R35,5275505
NB00153860,R36,5232433
NB00153860,R37,5478583
NB00153860,R38,5546610
NB00153860,R39,5569005
NB00153860,R40,5522472
NB00153860,R41,5520045
NB00153860,R42,5577457
NB00153860,R43,5567642
NB00153860,R44,5478518
NB00153860,R45,155651
NB00153860,R46,154066
NB00153860,R47,151078
NB00153860,R48,148224
NB00153860,S01,5138646
NB00153860,S02,5169840
NB00153860,S03,5091163
NB00153860,S04,5104312
NB00153860,S05,4793315
NB00153860,S06,4979657
NB00153860,S07,5045698
NB00153860,S08,4955349
NB00153860,S09,4889955
NB00153860,S10,4843674
NB00153860,S11,4979619
NB00153860,S12,4852606
NB00153860,S13,4932949
NB00153860,S14,5060656
NB00153860,S15,4859563
NB00153860,S16,4922495
NB00153860,S17,4931056
NB00153860,S18,4953120
NB00153860,S19,5052860
NB00153860,S20,4834599
NB00153860,S21,5029641
NB00153860,S22,4823429
NB00153860,S23,5066022
NB00153860,S24,4901533
NB00153860,S25,4878250
NB00153860,S26,5078092
NB00153860,S27,5148069
NB00153860,S28,5053794
NB00153860,S29,5071670
NB00153860,S30,5202345
NB00153860,S31,5260411
NB00153860,S32,5025809
NB00153860,S33,5163522
NB00153860,S34,5274616
NB00153860,S35,5256452
NB00153860,S36,5286690
NB00153860,S37,5341609
NB00153860,S38,5234889
NB00153860,S39,5286469
NB00153860,S40,5436521
NB00153860,S41,5401787
NB00153860,S42,5534155
NB00153860,S43,5480120
NB00153860,S44,5610778
NB00153860,S45,148992
NB00153860,S46,153166
NB00153860,S47,148743
NB00153860,S48,144251
NB00153860,T01,5159388
NB00153860,T02,5498458
NB00153860,T03,5269016
NB00153860,T04,5302863
NB00153860,T05,5376131
NB00153860,T06,5080177
NB00153860,T07,5333875
NB00153860,T08,4977807
NB00153860,T09,5073035
NB00153860,T10,5129591
NB00153860,T11,5122726
NB00153860,T12,5194883
NB00153860,T13,5095636
NB00153860,T14,5270912
NB00153860,T15,5195560
NB00153860,T16,5119451
NB00153860,T17,5100427
NB00153860,T18,5148205
NB00153860,T19,5117266
NB00153860,T20,4995854
NB00153860,T21,5038212
NB00153860,T22,5143560
NB00153860,T23,5077589
NB00153860,T24,5139208
NB00153860,T25,5202468
NB00153860,T26,5278698
NB00153860,T27,5209759
NB00153860,T28,5306390
NB00153860,T29,5320042
NB00153860,T30,5375897
NB00153860,T31,5426801
NB00153860,T32,5392141
NB00153860,T33,5507000
NB00153860,T34,5738600
NB00153860,T35,5454060
NB00153860,T36,5304819
NB00153860,T37,5511426
NB00153860,T38,5594925
NB00153860,T39,5546994
NB00153860,T40,5509889
NB00153860,T41,5579260
NB00153860,T42,5519008
NB00153860,T43,5602152
NB00153860,T44,5587621
NB00153860,T45,154710
NB00153860,T46,152804
NB00153860,T47,151256
NB00153860,T48,142572
NB00153860,U01,5049308
NB00153860,U02,5040137
NB00153860,U03,4995524
NB00153860,U04,4948222
NB00153860,U05,4681383
NB00153860,U06,4750492
NB00153860,U07,4782500
NB00153860,U08,4673635
NB00153860,U09,4681617
NB00153860,U10,4686621
NB00153860,U11,4763935
NB00153860,U12,4673561
NB00153860,U13,4722796
NB00153860,U14,4763657
NB00153860,U15,4874528
NB00153860,U16,4680005
NB00153860,U17,4689928
NB00153860,U18,4799527
NB00153860,U19,4830319
NB00153860,U20,4801170
NB00153860,U21,4774900
NB00153860,U22,4771673
NB00153860,U23,4741522
NB00153860,U24,4759698
NB00153860,U25,4748123
NB00153860,U26,4872901
NB00153860,U27,4905868
NB00153860,U28,4875505
NB00153860,U29,4996044
NB00153860,U30,5178950
NB00153860,U31,5236732
NB00153860,U32,5020413
NB00153860,U33,4923547
NB00153860,U34,5183838
NB00153860,U35,5245487
NB00153860,U36,5317517
NB00153860,U37,5086562
NB00153860,U38,5321547
NB00153860,U39,5018218
NB00153860,U40,5224666
NB00153860,U41,5402123
NB00153860,U42,5359568
NB00153860,U43,5832171
NB00153860,U44,5383963
NB00153860,U45,149562
NB00153860,U46,152328
NB00153860,U47,151739
NB00153860,U48,149485
NB00153860,V01,5219191
NB00153860,V02,5317012
NB00153860,V03,5248898
NB00153860,V04,5257140
NB00153860,V05,5157106
NB00153860,V06,5108303
NB00153860,V07,5070900
NB00153860,V08,5052170
NB00153860,V09,5055216
NB00153860,V10,5132081
